user_id,age,gender,location,preferred_language,device_type,payment_method,auto_renew,plan_changes,subscription_start_date,subscription_end_date,months_using,total_revenue_inr,completion_rate,peak_hour_streaming,avg_genre_diversity,most_watched_genre,churn_risk_score,churned
user_0001,44,Male,Kolkata,Hindi,Desktop,UPI,False,1,2021-11-08 20:25:03.636030,2024-09-23 20:25:03.636030,35,29108.81,0.7,Evening,5,Romance,3.0148136796646856,0
user_0002,68,Male,Mumbai,Bengali,Laptop,Credit Card,True,1,2023-10-05 20:25:03.636195,2023-11-04 20:25:03.636195,1,821.04,0.96,Afternoon,3,Action,4.4208231690490205,1
user_0003,32,Female,Hyderabad,Telugu,Tablet,Net Banking,True,0,2024-10-01 20:25:03.636204,2026-09-21 20:25:03.636204,24,29043.67,0.51,Night,3,Comedy,1.7012599722634312,0
user_0004,59,Male,Pune,Hindi,Mobile,Credit Card,True,1,2023-05-30 20:25:03.636210,2025-07-18 20:25:03.636210,26,26648.96,0.51,Night,3,Thriller,1.6317319050290853,0
user_0005,28,Male,Kolkata,Bengali,Smart TV,Net Banking,False,2,2021-06-22 20:25:03.636214,2023-01-13 20:25:03.636214,19,19185.64,0.99,Evening,2,Thriller,4.18252559062684,1
user_0006,52,Other,Bangalore,Tamil,Tablet,Credit Card,True,0,2022-08-30 20:25:03.636218,2022-09-29 20:25:03.636218,1,1072.96,0.44,Evening,6,Comedy,4.649103142673832,1
user_0007,69,Male,Hyderabad,Bengali,Tablet,Credit Card,True,1,2024-07-16 20:25:03.636222,2025-03-13 20:25:03.636222,8,6674.85,0.38,Afternoon,3,Romance,3.966612218641301,1
user_0008,42,Female,Delhi,Spanish,Desktop,Wallet,True,0,2024-08-01 20:25:03.636230,2024-12-29 20:25:03.636230,5,5556.92,0.35,Afternoon,6,Sci-Fi,4.181606878182717,1
user_0009,48,Female,Kolkata,Telugu,Mobile,Wallet,True,1,2022-09-14 20:25:03.636258,2025-10-28 20:25:03.636258,38,40260.43,0.4,Afternoon,2,Horror,3.3315017746966156,0
user_0010,28,Other,Ahmedabad,Telugu,Mobile,Credit Card,True,0,2024-11-19 20:25:03.636275,2026-01-13 20:25:03.636275,14,12136.4,0.36,Evening,2,Horror,4.015285976323223,1
